epoch,global_step,train/loss,source_val/loss,target_val/loss
1.0,239,0.0499103369599477,0.0381617342777094,0.0241222947338072
2.0,479,0.0444443301418801,0.0390419586487744,0.0260479435290334
3.0,714,0.043049883235346,0.038133884276904,0.0236071359434847
4.0,950,0.0443724785408784,0.0533538150282574,0.0398425643551184
5.0,1187,0.0413110360234477,0.0405998556306694,0.0255972264497648
6.0,1426,0.0414758276639304,0.0368931278445902,0.0234640316977616
7.0,1663,0.0411070300327706,0.0385549939543333,0.0251457715226757
8.0,1898,0.0406890702551385,0.0387161052797924,0.0285015752032605
9.0,2134,0.0396781274331074,0.0421592058100397,0.0232099997317461
10.0,2373,0.0354891973570626,0.0379835185619078,0.0241066718791624
11.0,2612,0.0357745583248347,0.0326147562162938,0.0233992728992678
12.0,2852,0.033535130292732,0.0342278901326514,0.0231782460439315
13.0,3091,0.0338028846426089,0.0313021200590964,0.0226819211110678
14.0,3329,0.0326780005194935,0.0339152399663691,0.0306098665698744
15.0,3566,0.0325349822614364,0.030961930577556,0.0240104896561478
16.0,3805,0.0328066941171637,0.0323672587565486,0.0253373498208649
17.0,4042,0.0323005123319358,0.0300818933146764,0.0209267532478691
18.0,4281,0.0316344774702387,0.029077833568343,0.0221749645258699
19.0,4518,0.0330615807212255,0.0299374416890773,0.0223915528179863
20.0,4755,0.0315796577612278,0.0319357427592196,0.0264383586218005
21.0,4992,0.0317981527932805,0.0304014657367316,0.0224811510453301
22.0,5229,0.0315423866098381,0.0287215354227459,0.0223753741998139
23.0,5465,0.0313111071377656,0.0305307502025721,0.021228953929884
24.0,5704,0.0312629322980153,0.0296322551845985,0.0224902053977349
25.0,5942,0.0302829503903479,0.0295727138208608,0.0214034621668164
