epoch,global_step,train/loss,source_val/loss,target_val/loss
1,157,0.035467222189419216,0.03676172357005555,0.03135859807163982
2,314,0.025308623947178196,0.02902034264822504,0.02639597756945986
3,471,0.02403393581763825,0.02682670131431254,0.024139235506497197
4,626,0.023992139245398923,0.025890956059800515,0.02356993086572926
5,782,0.023822955052320075,0.02632743497711311,0.02296413536167751
6,937,0.022463183773553875,0.027116883906842568,0.02451794662560194
7,1094,0.022761284348233924,0.025930721203871156,0.023170807570913585
8,1251,0.022744927257763153,0.02572990035791235,0.024342740330276853
9,1407,0.021875615154620633,0.02421919360733849,0.022994382196437506
10,1563,0.021273929169365283,0.02360752333092791,0.022336703794613732
11,1719,0.020770140811491804,0.02647044341709007,0.023538304068211276
12,1875,0.021305340423688267,0.029842018391797908,0.025158978065759955
13,2030,0.020661899169885322,0.023428934418334654,0.020961786004698883
14,2184,0.020057100872747407,0.025207923400495706,0.022665349834488105
15,2340,0.01966179433924624,0.026545003223938792,0.02281810082810915
16,2496,0.019979376121761157,0.02168869734109753,0.020551239801728623
17,2650,0.018604728279892666,0.021856770150846975,0.020711081179837554
18,2805,0.018937471481564095,0.022646686556779507,0.021021842258840295
19,2961,0.017983927452315918,0.02534473827384564,0.022657846124306068
20,3117,0.017894986161681753,0.02346766893777103,0.021323745913992997
21,3274,0.017591083059240772,0.020857160007703435,0.019194838147357864
22,3430,0.017388663642367283,0.021268956188832996,0.019616634286624395
23,3586,0.017324094516348892,0.021766288445827398,0.020610629252584303
24,3742,0.01692821992739464,0.022235481624455294,0.021856644325021466
25,3898,0.017307562712417804,0.02275565856534766,0.021699945235593338
26,4054,0.016797099350613295,0.021777885062022828,0.020179944172880406
27,4208,0.01649478176610938,0.02185115680585901,0.021005596608807475
28,4364,0.016030471690106827,0.022459806593294735,0.022443297200725746
29,4520,0.01601493974022798,0.02115050848418026,0.019531030839277527
