epoch,global_step,train/loss,source_val/loss,target_val/loss
1,115,0.03397136906937651,0.028004065293860337,0.025058364804645288
2,230,0.028049063338158604,0.028459230692817847,0.025994535707246323
3,345,0.026781490827043213,0.026248179076957468,0.023130539100840345
4,460,0.02620014474563113,0.024755666015524022,0.020985003389109115
5,575,0.02521231232607392,0.02367746797728472,0.020624026390058652
6,691,0.022435922678602643,0.020433933230886995,0.018132640160448542
7,805,0.020556853526299584,0.02155255864233861,0.018972717817821262
8,919,0.020815069699293382,0.019017255303122146,0.016474658142655127
9,1033,0.018561185591745466,0.01750264506963961,0.01567756703063365
10,1148,0.017970322368099638,0.017739169047260916,0.015480272025556609
11,1262,0.01832022490054454,0.021660220415159727,0.021595890397712383
12,1377,0.018008585595174157,0.02211682104073756,0.021387982117827588
13,1492,0.017477316726201578,0.01723881874509239,0.014919290671013467
14,1606,0.017418033504662544,0.01695920189051738,0.015139070034782457
15,1720,0.016664229074463213,0.0173636033491091,0.01553345298231472
16,1835,0.017258224135597217,0.016531932521507392,0.014516087163085212
17,1951,0.016710437226345767,0.0170108230261642,0.015468680304110326
18,2065,0.016781043156862123,0.01640621514720374,0.015096815011125007
19,2180,0.016239255249555686,0.015924229749670907,0.014609545915632204
20,2294,0.01665952152176174,0.01644566572692724,0.015391351479161444
21,2407,0.01612148080575248,0.01553222355588896,0.014031598134146582
22,2523,0.016252322944554604,0.016600874292939983,0.015139055983399466
23,2638,0.01561670862958773,0.016080656431630962,0.014663521633891192
24,2751,0.01537408279223065,0.015848256919439363,0.014273559507240073
25,2866,0.015479253148937116,0.015080270735942368,0.013860307741172029
26,2980,0.01543741766629779,0.015353773331644232,0.014168820914722258
27,3095,0.015635162234429942,0.015551245595749946,0.014619377978180411
28,3208,0.014977484989700331,0.015040133889847793,0.013966155328577565
29,3321,0.01456927394737368,0.014424553065555555,0.013212221777624523
30,3435,0.014613830344858036,0.014123166571813506,0.0128709438175375
31,3548,0.014598579710195996,0.014538913848159533,0.013475781134952049
32,3661,0.014493703119695459,0.014355839114355225,0.013583373132457931
33,3775,0.014441380298054975,0.013982974265977824,0.012844998372315262
34,3888,0.014381826636797027,0.014168799231765406,0.012984368907210464
35,4002,0.014099316975182814,0.014380541271087843,0.013330137580289819
36,4115,0.014416754490842945,0.013720481661694676,0.01277580592901476
37,4228,0.013801113032635719,0.013544376378920574,0.012517219023083762
38,4343,0.014192592945627578,0.013464270411943757,0.012529886400644681
39,4457,0.013536101563575782,0.01336786733919432,0.012434042848577971
40,4571,0.013315847848416296,0.014520415861950407,0.013250152151259135
41,4686,0.013635411120107232,0.013866005507011654,0.012853169740791419
42,4799,0.01327260458326176,0.013212121631585935,0.012358343125694358
43,4915,0.01331844491227711,0.013670858706597384,0.012753443719501593
44,5031,0.013282400741320725,0.013244838413506663,0.012304383484552258
45,5145,0.013015468860070649,0.013155265963589513,0.012123345659213133
46,5258,0.012991839661785068,0.013062186870859239,0.012277075797662757
47,5372,0.012723956784570176,0.013007594725148305,0.012148859803371714
48,5488,0.013221800225537518,0.013627956111462756,0.012923931780224022
49,5603,0.012766901906089563,0.013655959990125295,0.01233147410032112
50,5718,0.012642988802980232,0.014153695338166334,0.013259046805447422
